pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s1_neutral_angry,1,1,neutral,angry,11,1.0625,0.03125,0.75,0.03125,-0.875,-0.15625,0.3125
a01_s1_neutral_angry,1,1,neutral,angry,12,-0.21875,-0.875,-0.625,-1.03125,-0.53125,-0.28125,0.25
a01_s1_neutral_angry,1,1,neutral,angry,13,-0.46875,-0.53125,-0.5625,-0.53125,-0.015625,-0.046875,0.09375
a01_s1_neutral_angry,1,1,neutral,angry,14,-1.5,-1.0937509536743164,-1.859375,-1.2656240463256836,0.5,-0.2656240463256836,0.1875019073486328
a01_s1_neutral_angry,1,1,neutral,angry,15,-1.234375,-0.515625,-1.765625,-0.96875,0.7578125,-0.4921875,0.078125
a01_s1_neutral_angry,1,1,neutral,angry,16,-1.25,-1.296875,-1.8203115463256836,-1.46875,0.1523432731628418,-0.3710932731628418,0.3984365463256836
a01_s1_neutral_angry,1,1,neutral,angry,17,-0.9921875,-0.484375,-1.40625,-1.171875,0.37109375,-0.55078125,-0.2734375
a01_s1_neutral_angry,1,1,neutral,angry,18,0.75,1.109375,0.6796875,0.1875,-0.06640625,-0.49609375,-0.8515625
a01_s1_neutral_angry,1,1,neutral,angry,19,0.046875,-0.3984375,-0.4687509536743164,-1.21875,-0.5976557731628418,-0.6679692268371582,-0.3046865463256836
a01_s1_neutral_angry,1,1,neutral,angry,20,-4.13671875,-2.146484375,-4.161133766174316,-2.690185546875,1.7305912971496582,-0.2840580940246582,-0.5192861557006836
a01_s1_neutral_angry,1,1,neutral,angry,21,-2.83837890625,-1.52734375,-2.890625,-2.203125,0.999267578125,-0.364013671875,-0.62353515625
a01_s1_neutral_angry,1,1,neutral,angry,22,-3.90625,-1.56640625,-4.046875,-2.35546875,2.015625,-0.46484375,-0.6484375
a01_s1_neutral_angry,1,1,neutral,angry,23,-3.49609375,-2.83203125,-3.5439453125,-3.6875,0.26025390625,-0.45166015625,-0.8076171875
a01_s1_neutral_angry,1,1,neutral,angry,24,-2.595703125,-3.8203125,-2.95849609375,-4.4453125,-1.355712890625,-0.493896484375,-0.26220703125
a01_s1_neutral_angry,1,1,neutral,angry,25,-2.14453125,-2.5078125,-2.46484375,-2.6328125,-0.265625,-0.22265625,0.1953125
a01_s1_neutral_angry,1,1,neutral,angry,26,-2.6875,-1.1875,-3.1875,-1.9375,1.375,-0.625,-0.25
a01_s1_neutral_angry,1,1,neutral,angry,27,-1.125,-0.78125,-2.03125,-2.718749523162842,-0.1718747615814209,-1.421874761581421,-1.0312495231628418
a01_s1_neutral_angry,1,1,neutral,angry,28,-0.75,-1.0,-0.9375,-1.9375,-0.625,-0.5625,-0.75
a01_s2_happy_sad,1,2,happy,sad,0,2.3046875,2.3046875,2.3046875,2.3046875,0.0,0.0,0.0
a01_s2_happy_sad,1,2,happy,sad,1,-0.3125,-0.3125,-0.3515625,-0.3125,0.01953125,-0.01953125,0.0390625
a01_s2_happy_sad,1,2,happy,sad,2,-0.5771484375,-0.59765625,-0.66845703125,-0.716796875,-0.034423828125,-0.105224609375,-0.02783203125
a01_s2_happy_sad,1,2,happy,sad,3,-0.5859384536743164,-0.3984375,-0.6640625,-0.4765625,0.1875004768371582,-0.0781245231628418,-9.5367431640625e-07
a01_s2_happy_sad,1,2,happy,sad,4,-0.453125,-0.15625,-0.390625,-0.09375,0.296875,0.0625,0.0
a01_s2_happy_sad,1,2,happy,sad,5,-1.09375,-0.828125,-1.078125,-0.796875,0.2734375,0.0234375,0.015625
a01_s2_happy_sad,1,2,happy,sad,6,-2.0625,-1.96875,-2.0,-1.90625,0.09375,0.0625,0.0
a01_s2_happy_sad,1,2,happy,sad,7,-0.65625,-0.90625,-0.625,-0.90625,-0.265625,0.015625,-0.03125
a01_s2_happy_sad,1,2,happy,sad,8,-0.78125,-0.96875,-0.9375,-1.0625,-0.15625,-0.125,0.0625
a01_s2_happy_sad,1,2,happy,sad,9,0.6875,0.890625,0.78125,0.75,0.0859375,-0.0234375,-0.234375
a01_s2_happy_sad,1,2,happy,sad,10,-1.8828115463256836,-1.921875,-1.578125,-1.8515625,-0.1562504768371582,0.1874995231628418,-0.2343740463256836
a01_s2_happy_sad,1,2,happy,sad,11,-1.640625,-1.328125,-1.359375,-1.40625,0.1328125,0.1015625,-0.359375
a01_s2_happy_sad,1,2,happy,sad,12,-1.765625,-1.625,-1.84375,-1.65625,0.1640625,-0.0546875,0.046875
a01_s2_happy_sad,1,2,happy,sad,13,-1.578125,-1.453125,-1.765625,-1.5625,0.1640625,-0.1484375,0.078125
a01_s2_happy_sad,1,2,happy,sad,14,-1.1953125,-1.0,-1.0781259536743164,-1.03125,0.1210942268371582,0.0429682731628418,-0.1484365463256836
a01_s2_happy_sad,1,2,happy,sad,15,-0.4375,-0.515625,-0.359375,-0.71875,-0.21875,-0.0625,-0.28125
a01_s2_happy_sad,1,2,happy,sad,16,-1.80859375,-2.1250009536743164,-1.640625,-1.9609384536743164,-0.3183603286743164,0.166015625,-0.00390625
a01_s2_happy_sad,1,2,happy,sad,17,-1.7578125,-2.65625,-1.96484375,-2.20703125,-0.5703125,0.12109375,0.65625
a01_s2_happy_sad,1,2,happy,sad,18,-2.671875,-2.6875,-2.75,-2.4609384536743164,0.1367182731628418,0.0742182731628418,0.3046865463256836
a01_s2_happy_sad,1,2,happy,sad,19,-0.84375,-1.3984384536743164,-1.0078125,-1.1953134536743164,-0.3710947036743164,0.01953125,0.3671875
a01_s2_happy_sad,1,2,happy,sad,20,-0.3515625,-0.8359375,-0.328125,-1.0,-0.578125,-0.0703125,-0.1875
a01_s2_happy_sad,1,2,happy,sad,21,-1.2578125,-1.390625,-1.265625,-1.125,0.00390625,0.12890625,0.2734375
a01_s2_happy_sad,1,2,happy,sad,22,-0.59765625,-0.828125,-0.58203125,-0.203125,0.07421875,0.3203125,0.609375
a01_s2_happy_sad,1,2,happy,sad,23,-1.693359375,-1.4375,-1.97265625,-0.65625,0.7861328125,0.2509765625,1.060546875
a01_s2_happy_sad,1,2,happy,sad,24,-0.234130859375,0.1796875,-0.52484130859375,0.4921875,0.715423583984375,0.010894775390625,0.60321044921875
a01_s2_happy_sad,1,2,happy,sad,25,-0.521484375,-0.6484375,-0.8515625,-0.6904296875,0.01708984375,-0.18603515625,0.2880859375
a01_s2_happy_sad,1,2,happy,sad,26,-1.5546875,-2.015625,-1.96875,-1.95703125,-0.224609375,-0.177734375,0.47265625
a01_s2_happy_sad,1,2,happy,sad,27,-0.984375,-1.296875,-1.328125,-1.09375,-0.0390625,-0.0703125,0.546875
a01_s2_happy_sad,1,2,happy,sad,28,-0.375,-0.625,-0.5625,-0.6875,-0.1875,-0.125,0.125
a01_s2_neutral_angry,1,2,neutral,angry,0,0.951171875,0.951171875,0.951171875,0.951171875,0.0,0.0,0.0
a01_s2_neutral_angry,1,2,neutral,angry,1,0.0517578125,0.0029296875,-0.0771484375,-0.02490234375,0.001708984375,-0.078369140625,0.10107421875
a01_s2_neutral_angry,1,2,neutral,angry,2,-0.431640625,-0.544921875,-0.30859375,-0.427734375,-0.1162109375,0.1201171875,-0.005859375
a01_s2_neutral_angry,1,2,neutral,angry,3,0.09375,0.0,0.09375,0.140625,-0.0234375,0.0703125,0.140625
a01_s2_neutral_angry,1,2,neutral,angry,4,1.40625,1.4375,1.09375,1.34375,0.140625,-0.203125,0.21875
a01_s2_neutral_angry,1,2,neutral,angry,5,0.75,0.71875,0.375,0.53125,0.0625,-0.28125,0.1875
a01_s2_neutral_angry,1,2,neutral,angry,6,-0.84375,-0.6875,-1.1875,-0.875,0.234375,-0.265625,0.15625
a01_s2_neutral_angry,1,2,neutral,angry,7,0.15625,-0.25,0.34375,0.09375,-0.328125,0.265625,0.15625
a01_s2_neutral_angry,1,2,neutral,angry,8,0.46875,0.28125,0.5,0.4375,-0.125,0.09375,0.125
a01_s2_neutral_angry,1,2,neutral,angry,9,1.265625,1.078125,1.40625,1.015625,-0.2890625,0.0390625,-0.203125
a01_s2_neutral_angry,1,2,neutral,angry,10,0.78125,-0.28125,0.9375,0.078125,-0.9609375,0.2578125,0.203125
a01_s2_neutral_angry,1,2,neutral,angry,11,1.53125,0.25,1.453125,0.6875,-1.0234375,0.1796875,0.515625
a01_s2_neutral_angry,1,2,neutral,angry,12,0.21875,-0.96875,0.34375,-0.46875,-1.0,0.3125,0.375
a01_s2_neutral_angry,1,2,neutral,angry,13,-0.0625,-1.1875,-0.0625,-0.796875,-0.9296875,0.1953125,0.390625
a01_s2_neutral_angry,1,2,neutral,angry,14,-0.765625,-1.4843759536743164,-0.65625,-0.875,-0.4687504768371582,0.3593754768371582,0.5000009536743164
a01_s2_neutral_angry,1,2,neutral,angry,15,-0.28125,-0.75,-0.21875,-0.515625,-0.3828125,0.1484375,0.171875
a01_s2_neutral_angry,1,2,neutral,angry,16,-0.40625,-1.3437490463256836,-0.296875,-1.3125,-0.9765620231628418,0.0703120231628418,-0.0781259536743164
