method,n_folds,n_runs,ser_mean,ser_std,ser_min_fold,ser_max_fold,aligned_ser_mean,aligned_ser_std,aligned_ser_min_fold,aligned_ser_max_fold,conflict_acoustic_follow_mean,conflict_acoustic_follow_std,conflict_acoustic_follow_min_fold,conflict_acoustic_follow_max_fold,conflict_semantic_follow_mean,conflict_semantic_follow_std,conflict_semantic_follow_min_fold,conflict_semantic_follow_max_fold,conflict_margin_mean,conflict_margin_std,conflict_margin_min_fold,conflict_margin_max_fold
baseline,6,6,0.4366319444444445,0.0920810158707879,0.2916666666666667,0.546875,0.4479166666666667,0.08307250848907036,0.3125,0.53125,0.42534722222222215,0.10278598878612173,0.2708333333333333,0.5625,0.1875,0.03159531435021479,0.14583333333333334,0.22916666666666666,1.1627604166666667,0.41322574158577613,0.7682291666666666,1.6979166666666667
decision_adapter_layer25,6,18,0.7552083333333334,0.1103434855321451,0.5746527777777778,0.9131944444444445,0.75,0.11486707293408517,0.5625,0.9166666666666666,0.7604166666666666,0.10618416624193004,0.5868055555555555,0.9097222222222222,0.0769675925925926,0.0367738770030492,0.027777777777777776,0.1388888888888889,3.3740596064814814,0.7206806706938308,2.009982638888889,4.092230902777778
full_sequence_adapter_layer22,6,18,0.7612847222222222,0.06253615852197178,0.671875,0.8628472222222222,0.7638888888888888,0.06835958167958175,0.6666666666666666,0.875,0.7586805555555555,0.057841427947769745,0.6770833333333334,0.8506944444444445,0.0787037037037037,0.02257389557247203,0.04513888888888889,0.11458333333333333,3.4913194444444446,0.44484559075639185,2.872829861111111,4.089626736111112
ordinary_lora_layer22,6,18,0.779513888888889,0.10316065133842407,0.6319444444444445,0.9357638888888888,0.7795138888888888,0.10193796338768807,0.625,0.9270833333333334,0.7795138888888888,0.10496798269937034,0.6388888888888888,0.9444444444444445,0.07291666666666667,0.03409149363509327,0.020833333333333332,0.12152777777777778,5.440067997685184,1.0698116616988336,4.010633680555555,7.071831597222222
