metric,mean,ci_low,ci_high
ME_C,2.3605685785102346,1.8435140026391312,2.8703531792540558
ME_D,0.035047745341823124,-0.05045845198106284,0.11924913390737654
interaction,0.1525607643674852,-0.008246523740268054,0.31336806808313766
acoustic_follow,0.42534722222222215,0.375,0.4774305555555556
discrete_follow,0.1875,0.16840277777777776,0.20659722222222224
other,0.38715277777777773,0.3506944444444445,0.421875
matched_accuracy,0.4479166666666667,0.4010416666666667,0.4947916666666667
