method,n_folds,delta_ser_mean,delta_ser_std,delta_ser_min_fold,delta_ser_max_fold,delta_ser_wilcoxon_p,delta_aligned_ser_mean,delta_aligned_ser_std,delta_aligned_ser_min_fold,delta_aligned_ser_max_fold,delta_aligned_ser_wilcoxon_p,delta_conflict_acoustic_follow_mean,delta_conflict_acoustic_follow_std,delta_conflict_acoustic_follow_min_fold,delta_conflict_acoustic_follow_max_fold,delta_conflict_acoustic_follow_wilcoxon_p,delta_conflict_semantic_follow_mean,delta_conflict_semantic_follow_std,delta_conflict_semantic_follow_min_fold,delta_conflict_semantic_follow_max_fold,delta_conflict_semantic_follow_wilcoxon_p,delta_conflict_margin_mean,delta_conflict_margin_std,delta_conflict_margin_min_fold,delta_conflict_margin_max_fold,delta_conflict_margin_wilcoxon_p
decision_adapter_layer25,6,0.3185763888888889,0.16241966645605918,0.10590277777777779,0.5017361111111112,0.03125,0.3020833333333333,0.15450413514782632,0.09375,0.47916666666666663,0.03125,0.3350694444444445,0.17152566912783956,0.11805555555555547,0.5243055555555556,0.03125,-0.1105324074074074,0.054389528473899905,-0.1736111111111111,-0.048611111111111105,0.03125,2.211299189814815,0.7836152277179284,0.9644097222222221,3.1918402777777777,0.03125
full_sequence_adapter_layer22,6,0.32465277777777785,0.1159794991063635,0.203125,0.467013888888889,0.03125,0.31597222222222215,0.1043054630862144,0.19791666666666663,0.4375,0.03125,0.3333333333333333,0.12887511899624496,0.20833333333333337,0.49652777777777773,0.03125,-0.1087962962962963,0.03652716166217476,-0.15277777777777776,-0.07291666666666667,0.03125,2.328559027777778,0.4897240066135188,1.8272569444444444,3.1892361111111116,0.03125
ordinary_lora_layer22,6,0.3428819444444445,0.16339655776280776,0.16319444444444453,0.5434027777777779,0.03125,0.33159722222222227,0.1507240434320899,0.15625,0.5208333333333334,0.03125,0.3541666666666667,0.17756606317121368,0.17013888888888884,0.5659722222222221,0.03125,-0.11458333333333333,0.053023914357836315,-0.17708333333333331,-0.06597222222222222,0.03125,4.277307581018518,1.202168485832887,2.9650607638888884,6.171440972222222,0.03125
