mode,n,wer,wer_ci_low,wer_ci_high,exact_match
full,96,0.0,0.0,0.0,1.0
no_continuous,96,1.2170138888888888,1.0104166666666667,1.4340277777777777,0.0
no_discrete,96,0.0,0.0,0.0,1.0
rolled_continuous,96,0.578125,0.5329861111111112,0.6267361111111112,0.010416666666666666
