emotion_pair,n_pairs,ME_C,ME_D,interaction,acoustic_follow,discrete_follow,other
happy-angry,400,-0.16773438811302185,0.12968750894069672,-0.03999998450279236,0.0875,0.08,0.8325
happy-sad,400,0.10410156071186066,-0.1816015625,-0.1808593726158142,0.17375,0.09375,0.7325
neutral-angry,400,-0.33871094286441805,0.1394140699505806,-0.16773439347743987,0.385,0.40125,0.21375
neutral-happy,400,-0.011484379470348359,0.0046093747019767765,-0.16093749225139617,0.4575,0.48875,0.05375
neutral-sad,400,-0.08962890550494194,0.10720703765749931,-0.26207030564546585,0.3075,0.4325,0.26
sad-angry,400,-0.08886718600988389,0.025195312798023225,-0.03914062440395355,0.02625,0.0325,0.94125
