mode,n,accuracy,macro_f1,coverage,mean_seconds,flip_rate_vs_full
full,20,0.55,0.5511904761904762,0.7,0.141595,
no_continuous,20,0.35,0.29642857142857143,1.0,0.10464,0.7
no_discrete,20,0.35,0.43749999999999994,0.4,0.10474999999999998,0.3
rolled_continuous,20,0.65,0.5666666666666667,1.0,0.10932,0.35
