condition,layer,scope,metric,mean,ci_low,ci_high,n
acoustic,12.0,audio_tokens,acoustic_margin,1.0742187576155022,0.8274739694990179,1.3281494206545172,192
acoustic,12.0,audio_tokens,rescue,-0.05143228700035252,-0.15039878450673616,0.04818524246244718,192
acoustic,12.0,audio_tokens,acoustic_follow,0.4270833333333333,0.3697916666666667,0.4895833333333333,192
acoustic,12.0,audio_tokens,discrete_follow,0.19791666666666666,0.16666666666666666,0.22916666666666666,192
acoustic,12.0,audio_tokens,other,0.375,0.3125,0.4322916666666667,192
acoustic,18.0,audio_tokens,acoustic_margin,1.0598958282498643,0.8157552006319747,1.3138102208807443,192
acoustic,18.0,audio_tokens,rescue,-0.06575521636599053,-0.15852866941762234,0.020182284122226217,192
acoustic,18.0,audio_tokens,acoustic_follow,0.4270833333333333,0.3697916666666667,0.484375,192
acoustic,18.0,audio_tokens,discrete_follow,0.19270833333333334,0.16145833333333334,0.22395833333333334,192
acoustic,18.0,audio_tokens,other,0.3802083333333333,0.3125,0.4427083333333333,192
acoustic,22.0,audio_tokens,acoustic_margin,1.2223307121215232,0.9733072747359984,1.486336259811651,192
acoustic,22.0,audio_tokens,rescue,0.09667966750566848,0.03580726635433772,0.16472167934286203,192
acoustic,22.0,audio_tokens,acoustic_follow,0.421875,0.3697916666666667,0.4791666666666667,192
acoustic,22.0,audio_tokens,discrete_follow,0.19270833333333334,0.16145833333333334,0.22395833333333334,192
acoustic,22.0,audio_tokens,other,0.3854166666666667,0.328125,0.4427083333333333,192
acoustic,24.0,audio_tokens,acoustic_margin,1.1972656086436473,0.9378173763335023,1.461922166931375,192
acoustic,24.0,audio_tokens,rescue,0.07161456402779247,0.01627602506923722,0.1344400539960285,192
acoustic,24.0,audio_tokens,acoustic_follow,0.421875,0.3697916666666667,0.4791666666666667,192
acoustic,24.0,audio_tokens,discrete_follow,0.19791666666666666,0.16666666666666666,0.22916666666666666,192
acoustic,24.0,audio_tokens,other,0.3802083333333333,0.3177083333333333,0.4427083333333333,192
acoustic,24.0,full,acoustic_margin,1.0689290370889164,0.8379659143155247,1.2969604536459276,192
acoustic,24.0,full,rescue,-0.05672200752693849,-0.19498694649446408,0.07642007301474217,192
acoustic,24.0,full,acoustic_follow,0.4479166666666667,0.4010416666666667,0.4947916666666667,192
acoustic,24.0,full,discrete_follow,0.17708333333333334,0.14583333333333334,0.20833333333333334,192
acoustic,24.0,full,other,0.375,0.3177083333333333,0.4322916666666667,192
acoustic,25.0,audio_tokens,acoustic_margin,1.1780598766927142,0.9228515572009202,1.4417317452420926,192
acoustic,25.0,audio_tokens,rescue,0.05240883207685935,-0.002278670649441968,0.11360675493269809,192
acoustic,25.0,audio_tokens,acoustic_follow,0.4322916666666667,0.375,0.4895833333333333,192
acoustic,25.0,audio_tokens,discrete_follow,0.1875,0.15625,0.21875,192
acoustic,25.0,audio_tokens,other,0.3802083333333333,0.3177083333333333,0.4427083333333333,192
acoustic,25.0,full,acoustic_margin,1.2693684854554401,1.0361287205732272,1.5122110995240898,192
acoustic,25.0,full,rescue,0.14371744083958524,0.012044265028695616,0.27995199906605794,192
acoustic,25.0,full,acoustic_follow,0.4479166666666667,0.4010416666666667,0.4947916666666667,192
acoustic,25.0,full,discrete_follow,0.18229166666666666,0.15104166666666666,0.21354166666666666,192
acoustic,25.0,full,other,0.3697916666666667,0.3177083333333333,0.421875,192
acoustic,25.0,random_positions,acoustic_margin,1.1956380174669903,0.9440022836007604,1.4537841693352673,192
acoustic,25.0,random_positions,rescue,0.06998697285113546,0.015299494336068165,0.12858072348123337,192
acoustic,25.0,random_positions,acoustic_follow,0.421875,0.3697916666666667,0.4739583333333333,192
acoustic,25.0,random_positions,discrete_follow,0.19791666666666666,0.16666666666666666,0.22916666666666666,192
acoustic,25.0,random_positions,other,0.3802083333333333,0.3177083333333333,0.4427083333333333,192
acoustic,26.0,audio_tokens,acoustic_margin,1.1464843664919802,0.8824625463368041,1.4235025909578933,192
acoustic,26.0,audio_tokens,rescue,0.02083332187612541,-0.031258168265048875,0.0758463434225026,192
acoustic,26.0,audio_tokens,acoustic_follow,0.421875,0.359375,0.484375,192
acoustic,26.0,audio_tokens,discrete_follow,0.1875,0.15625,0.21875,192
acoustic,26.0,audio_tokens,other,0.390625,0.3229166666666667,0.4583333333333333,192
acoustic,26.0,full,acoustic_margin,1.1870931165564496,0.9580851312396893,1.4165995543652872,192
acoustic,26.0,full,rescue,0.061442071940594666,-0.08260291900199566,0.20915326388858366,192
acoustic,26.0,full,acoustic_follow,0.4322916666666667,0.3802083333333333,0.484375,192
acoustic,26.0,full,discrete_follow,0.18229166666666666,0.15104166666666666,0.21354166666666666,192
acoustic,26.0,full,other,0.3854166666666667,0.328125,0.4427083333333333,192
acoustic,27.0,audio_tokens,acoustic_margin,1.1406250030753047,0.8697835355943729,1.4199381534218747,192
acoustic,27.0,audio_tokens,rescue,0.014973958459449932,0.00520833810781672,0.025065096337978807,192
acoustic,27.0,audio_tokens,acoustic_follow,0.4166666666666667,0.359375,0.4739583333333333,192
acoustic,27.0,audio_tokens,discrete_follow,0.19791666666666666,0.16666666666666666,0.22916666666666666,192
acoustic,27.0,audio_tokens,other,0.3854166666666667,0.3229166666666667,0.4479166666666667,192
acoustic,27.0,full,acoustic_margin,1.2265625056655456,0.9697184095132495,1.4977213627818855,192
acoustic,27.0,full,rescue,0.10091146104969084,-0.013671895621034007,0.2200602402782047,192
acoustic,27.0,full,acoustic_follow,0.4479166666666667,0.4010416666666667,0.4947916666666667,192
acoustic,27.0,full,discrete_follow,0.1875,0.15625,0.21875,192
acoustic,27.0,full,other,0.3645833333333333,0.3125,0.4166666666666667,192
discrete,12.0,audio_tokens,acoustic_margin,-1.2529296864377102,-1.522135426001114,-0.9990234228533761,192
discrete,12.0,audio_tokens,rescue,-2.378580731053565,-2.9085774986813093,-1.8655354659589651,192
discrete,12.0,audio_tokens,acoustic_follow,0.18229166666666666,0.15104166666666666,0.21354166666666666,192
discrete,12.0,audio_tokens,discrete_follow,0.4635416666666667,0.4166666666666667,0.5052083333333334,192
discrete,12.0,audio_tokens,other,0.3541666666666667,0.296875,0.4114583333333333,192
discrete,18.0,audio_tokens,acoustic_margin,-1.1461588674913703,-1.4127604395816888,-0.890608728511264,192
discrete,18.0,audio_tokens,rescue,-2.271809912107225,-2.8047037997614095,-1.7685302713978068,192
discrete,18.0,audio_tokens,acoustic_follow,0.19270833333333334,0.16145833333333334,0.22395833333333334,192
discrete,18.0,audio_tokens,discrete_follow,0.4479166666666667,0.3958333333333333,0.5,192
discrete,18.0,audio_tokens,other,0.359375,0.3020833333333333,0.4114583333333333,192
discrete,22.0,audio_tokens,acoustic_margin,0.7893880126260532,0.621093738891068,0.9638834692300101,192
