layer,metric,mean,ci_low,ci_high
0,ME_C,0.0,0.0,0.0
0,ME_D,0.0,0.0,0.0
0,interaction,0.0,0.0,0.0
1,ME_C,0.07629044850667317,0.050884765386581425,0.09908776680628457
1,ME_D,-0.018922170003255207,-0.03605576554934184,-0.002027579148610436
1,interaction,0.04539012908935547,0.035402385393778484,0.055600833892822256
2,ME_C,0.06399019559224446,0.041232319672902425,0.08765320777893067
2,ME_D,0.0023162364959716793,-0.013967039187749226,0.01736775239308675
2,interaction,0.02424510320027669,0.012996105353037517,0.03608029683430989
3,ME_C,0.06462091704209645,0.03688045181334019,0.09208738791445889
3,ME_D,0.003138278921445213,-0.014068627854188278,0.019989190623164173
3,interaction,0.03990684946378071,0.02746561368306477,0.052561552822589855
4,ME_C,0.1365966796875,0.06880696614583333,0.2034912109375
4,ME_D,-0.043497721354166664,-0.061808268229166664,-0.02490234375
4,interaction,0.054768880208333336,0.038653564453125004,0.07014973958333333
5,ME_C,0.016520192225774128,-0.05859372119108836,0.09168397014339752
5,ME_D,-0.045817057291666664,-0.06453552730381489,-0.02775064595043659
5,interaction,0.01611328125,0.0005696810781955718,0.03133138095339139
6,ME_C,0.12711588541666666,0.046549479166666664,0.2094746907552083
6,ME_D,-0.0185546875,-0.037679036458333336,0.0004089355468749704
6,interaction,0.0022786458333333335,-0.011555989583333334,0.015787760416666668
7,ME_C,0.13887535532315573,0.07425844793518384,0.20149946523209408
7,ME_D,0.03210450212160746,0.003946950038274129,0.05969240280489127
7,interaction,0.0015461444854736304,-0.016520192474126814,0.02083324392636617
8,ME_C,0.024447113275527954,-0.0882151989887158,0.1391439631581306
8,ME_D,0.004918416341145833,-0.02027698208888372,0.028810352335373553
8,interaction,0.04231764872868856,0.010604277004798254,0.07197437211871147
9,ME_C,0.023589720328648884,-0.10293797366321086,0.17569686882197855
9,ME_D,0.011298765738805136,-0.027098113422592482,0.05194146074354647
9,interaction,0.019072771072387695,-0.015686796108881632,0.05511202464501063
10,ME_C,0.17816953361034393,0.010477416838208837,0.3608425509184598
10,ME_D,0.07758743067582448,0.03225684650242328,0.12415977269411087
10,interaction,-0.014733105897903442,-0.05822409018874168,0.028872179985046386
11,ME_C,0.17503789067268372,0.018832217281063404,0.32825616660217444
11,ME_D,0.06722981731096904,0.021393612523873652,0.11123486993213494
11,interaction,0.0006418625513712565,-0.058766744037469225,0.05743280152479805
12,ME_C,0.046973208586374916,-0.13005704805254936,0.22638524820407221
12,ME_D,0.088146577278773,0.037720062956213954,0.13902575572331746
