pair_id,actor,statement,label_a,label_b,AA,AB,BA,BB,ME_C,ME_D,interaction
a18_s1_happy_sad,18,1,happy,sad,-0.375,-0.875,-0.875,-0.4375,-0.03125,-0.03125,0.9375
a18_s1_happy_angry,18,1,happy,angry,-1.0,-1.125,-1.1875,-1.9375,-0.4375,-0.5,-0.625
a18_s1_sad_angry,18,1,sad,angry,-0.3125,-0.5625,-0.3125,-1.1875,-0.5625,-0.3125,-0.625
a18_s2_neutral_happy,18,2,neutral,happy,0.125,-0.0625,0.0,0.4375,0.125,0.1875,0.625
a18_s2_neutral_sad,18,2,neutral,sad,-0.5,-0.75,-0.5625,-0.6875,-0.1875,0.0,0.125
a18_s2_neutral_angry,18,2,neutral,angry,0.3125,0.0625,0.3125,0.125,-0.21875,0.03125,0.0625
a18_s2_happy_sad,18,2,happy,sad,-0.6875,-0.875,-0.5,-1.125,-0.40625,-0.03125,-0.4375
a18_s2_happy_angry,18,2,happy,angry,-0.1875,-0.4375,0.0,-0.5,-0.375,0.0625,-0.25
a18_s2_sad_angry,18,2,sad,angry,1.5,0.125,1.1875,-0.1875,-1.375,-0.3125,0.0
a19_s1_neutral_happy,19,1,neutral,happy,0.1875,0.0625,0.25,-0.0625,-0.21875,-0.03125,-0.1875
a19_s1_neutral_sad,19,1,neutral,sad,-0.4375,-1.25,-0.84375,-1.59375,-0.78125,-0.375,0.0625
a19_s1_neutral_angry,19,1,neutral,angry,-1.0625,-0.625,-1.375,-0.9375,0.4375,-0.3125,0.0
a19_s1_happy_sad,19,1,happy,sad,-0.625,-0.625,-0.9375,-0.78125,0.078125,-0.234375,0.15625
a19_s1_happy_angry,19,1,happy,angry,-1.25,-1.1875,-1.8125,-1.1875,0.34375,-0.28125,0.5625
a19_s1_sad_angry,19,1,sad,angry,0.0,-0.875,0.125,-1.125,-1.0625,-0.0625,-0.375
a19_s2_neutral_happy,19,2,neutral,happy,0.375,0.6875,0.3125,0.4375,0.21875,-0.15625,-0.1875
a19_s2_neutral_sad,19,2,neutral,sad,-0.5,-0.5,-0.5625,-0.3125,0.125,0.0625,0.25
a19_s2_neutral_angry,19,2,neutral,angry,0.9375,0.4375,0.4375,0.1875,-0.375,-0.375,0.25
a19_s2_happy_sad,19,2,happy,sad,-0.875,-0.9062495231628418,-0.875,-0.71875,0.0625002384185791,0.0937497615814209,0.1874995231628418
a19_s2_happy_angry,19,2,happy,angry,-0.3125,-0.25,-0.375,-0.5,-0.03125,-0.15625,-0.1875
a19_s2_sad_angry,19,2,sad,angry,0.71875,-0.125,0.90625,0.0,-0.875,0.15625,-0.0625
a20_s1_neutral_happy,20,1,neutral,happy,-0.125,0.3125,-0.375,0.5,0.65625,-0.03125,0.4375
a20_s1_neutral_sad,20,1,neutral,sad,-0.75,-0.59375,-0.75,-0.25,0.328125,0.171875,0.34375
a20_s1_neutral_angry,20,1,neutral,angry,-0.8125,-0.96875,-1.125,-1.0312504768371582,-0.0312502384185791,-0.1875002384185791,0.2499995231628418
a20_s1_happy_sad,20,1,happy,sad,-0.5625,-0.6875,-0.5625,-0.3125,0.0625,0.1875,0.375
a20_s1_happy_angry,20,1,happy,angry,-1.0625,-0.71875,-1.0,-0.78125,0.28125,0.0,-0.125
a20_s1_sad_angry,20,1,sad,angry,-0.5625,-0.0625,-0.5,-0.1875,0.40625,-0.03125,-0.1875
a20_s2_neutral_happy,20,2,neutral,happy,0.1875,0.5,0.125,0.1875,0.1875,-0.1875,-0.25
a20_s2_neutral_sad,20,2,neutral,sad,-0.5,-0.75,-0.3125,-0.78125,-0.359375,0.078125,-0.21875
a20_s2_neutral_angry,20,2,neutral,angry,0.3125,1.0,0.3125,1.125,0.75,0.0625,0.125
a20_s2_happy_sad,20,2,happy,sad,-0.125,-0.65625,-0.75,-0.78125,-0.28125,-0.375,0.5
a20_s2_happy_angry,20,2,happy,angry,0.0,0.75,-0.125,0.4375,0.65625,-0.21875,-0.1875
a20_s2_sad_angry,20,2,sad,angry,0.84375,1.6875,1.0,1.375,0.609375,-0.078125,-0.46875
a21_s1_neutral_happy,21,1,neutral,happy,-0.5625,-0.3125,0.0,-0.25,0.0,0.3125,-0.5
a21_s1_neutral_sad,21,1,neutral,sad,-1.375,-0.75,-1.0625,-0.875,0.40625,0.09375,-0.4375
a21_s1_neutral_angry,21,1,neutral,angry,-1.9375,-1.75,-1.5625,-1.8125,-0.03125,0.15625,-0.4375
a21_s1_happy_sad,21,1,happy,sad,-1.0,-0.5625,-0.625,-0.4375,0.3125,0.25,-0.25
