emotion_pair,n_pairs,ME_C,ME_D,interaction,acoustic_follow,discrete_follow
happy-angry,48,2.9010416773089673,0.02864585779025219,0.15625006086581075,0.3645833333333333,0.041666666666666664
happy-sad,48,-1.3046874986418213,0.014322908866840104,0.3958333197515458,0.10416666666666667,0.3229166666666667
neutral-angry,48,5.9980468779976945,0.17643229202561392,0.18098954547895119,0.71875,0.0625
neutral-happy,48,2.882161464076489,-0.05013020181407532,-0.14453126474594077,0.4895833333333333,0.14583333333333334
neutral-sad,48,4.279296857498896,0.007161459536291659,0.22265626497877142,0.5,0.0625
sad-angry,48,-0.5924479071788179,0.03385415564601621,0.1041666598757729,0.375,0.4895833333333333
