pair_id,speaker,word,label_a,label_b,file_a,file_b,AA,AB,BA,BB,ME_C,ME_D,interaction
OAF_back_neutral_happy,OAF,back,neutral,happy,OAF_back_neutral.wav,OAF_back_happy.wav,0.4375,2.1250000596046448,0.5,2.2500000596046448,1.7187500596046448,0.09375,0.0625
OAF_back_neutral_sad,OAF,back,neutral,sad,OAF_back_neutral.wav,OAF_back_sad.wav,5.874999910593033,7.312499821186066,6.0625001192092896,7.812499716877937,1.5937497541308403,0.3437500521540642,0.31249968707561493
OAF_back_neutral_angry,OAF,back,neutral,angry,OAF_back_neutral.wav,OAF_back_angry.wav,4.8749998807907104,3.0000000596046448,4.3750001192092896,2.124999910593033,-2.062500014901161,-0.6874999552965164,-0.37500038743019104
OAF_back_happy_sad,OAF,back,happy,sad,OAF_back_happy.wav,OAF_back_sad.wav,-1.1250000596046448,4.999999940395355,-1.6250000894069672,5.7500001937150955,6.750000141561031,0.12500011175870895,1.2500002831220627
OAF_back_happy_angry,OAF,back,happy,angry,OAF_back_happy.wav,OAF_back_angry.wav,-1.5000000596046448,1.8750000596046448,-1.8750000298023224,1.8749999105930328,3.5625000298023224,-0.18750005960464478,0.3749998211860657
OAF_back_sad_angry,OAF,back,sad,angry,OAF_back_sad.wav,OAF_back_angry.wav,-1.3749999552965164,3.7499999403953552,-0.9999999701976776,4.124999910593033,5.124999888241291,0.3749999776482582,-1.4901161193847656e-08
OAF_bar_neutral_happy,OAF,bar,neutral,happy,OAF_bar_neutral.wav,OAF_bar_happy.wav,0.1875,4.312499888241291,0.25,4.3125001937150955,4.093750040978193,0.03125015273690224,-0.062499694526195526
OAF_bar_neutral_sad,OAF,bar,neutral,sad,OAF_bar_neutral.wav,OAF_bar_sad.wav,5.562500089406967,8.062499523162842,5.499999925494194,7.687500059604645,2.3437497839331627,-0.21874981373548508,-0.3124992996454239
OAF_bar_neutral_angry,OAF,bar,neutral,angry,OAF_bar_neutral.wav,OAF_bar_angry.wav,4.4375001192092896,-0.5,3.375000238418579,-2.625000089406967,-5.468750223517418,-1.5937499850988388,-1.0625002086162567
OAF_bar_happy_sad,OAF,bar,happy,sad,OAF_bar_happy.wav,OAF_bar_sad.wav,-4.1250001937150955,5.749999910593033,-3.249999925494194,5.250000059604645,9.187500044703484,0.1875002086162567,-1.3750001192092896
OAF_bar_happy_angry,OAF,bar,happy,angry,OAF_bar_happy.wav,OAF_bar_angry.wav,-4.5000001937150955,1.5,-4.250000052154064,0.5,5.37500012293458,-0.37499992921948433,-1.2500001415610313
OAF_bar_sad_angry,OAF,bar,sad,angry,OAF_bar_sad.wav,OAF_bar_angry.wav,-0.7500000596046448,1.0000001192092896,-1.0000000298023224,0.5,1.6250001043081284,-0.3750000447034836,-0.25000014901161194
OAF_base_neutral_happy,OAF,base,neutral,happy,OAF_base_neutral.wav,OAF_base_happy.wav,-0.25,2.375,-0.1875,1.625,2.21875,-0.34375,-0.8125
OAF_base_neutral_sad,OAF,base,neutral,sad,OAF_base_neutral.wav,OAF_base_sad.wav,4.437499940395355,6.5624998807907104,5.187500059604645,6.937499940395355,1.9374999105930328,0.5625000894069672,-0.3750000596046448
OAF_base_neutral_angry,OAF,base,neutral,angry,OAF_base_neutral.wav,OAF_base_angry.wav,3.4375,0.25,3.25,0.125,-3.15625,-0.15625,0.0625
OAF_base_happy_sad,OAF,base,happy,sad,OAF_base_happy.wav,OAF_base_sad.wav,-0.25,4.874999850988388,-0.25,4.874999940395355,5.124999895691872,4.470348358154297e-08,8.940696716308594e-08
OAF_base_happy_angry,OAF,base,happy,angry,OAF_base_happy.wav,OAF_base_angry.wav,-1.25,1.9999998807907104,-3.3750000298023224,2.0000001192092896,4.312500014901161,-1.0624998956918716,2.1250002682209015
OAF_base_sad_angry,OAF,base,sad,angry,OAF_base_sad.wav,OAF_base_angry.wav,-0.5,3.125,-1.0000000298023224,2.0000001192092896,3.312500074505806,-0.8124999552965164,-0.6249998509883881
OAF_bath_neutral_happy,OAF,bath,neutral,happy,OAF_bath_neutral.wav,OAF_bath_happy.wav,0.8125,3.1250000596046448,0.5,2.6250000298023224,2.2187500447034836,-0.4062500149011612,-0.1875000298023224
OAF_bath_neutral_sad,OAF,bath,neutral,sad,OAF_bath_neutral.wav,OAF_bath_sad.wav,6.812500149011612,6.812499761581421,7.1249998807907104,7.25,0.062499865889549255,0.3749999850988388,0.1250005066394806
OAF_bath_neutral_angry,OAF,bath,neutral,angry,OAF_bath_neutral.wav,OAF_bath_angry.wav,5.5625001192092896,4.499999925494194,5.4999998807907104,3.2499998956918716,-1.6562500894069672,-0.6562501341104507,-1.1874997913837433
OAF_bath_happy_sad,OAF,bath,happy,sad,OAF_bath_happy.wav,OAF_bath_sad.wav,-2.7500000298023224,4.625,-2.5000000596046448,4.25,7.062500044703484,-0.0625000149011612,-0.6249999701976776
