mode,n,accuracy,macro_f1,coverage,mean_seconds,flip_rate_vs_full
full,96,0.4791666666666667,0.4953968549610196,0.7604166666666666,0.12379791666666667,
no_continuous,96,0.34375,0.30223576181833894,0.8541666666666666,0.11404270833333334,0.6875
no_discrete,96,0.4479166666666667,0.4652390282131661,0.65625,0.11585833333333333,0.17708333333333334
rolled_continuous,96,0.5416666666666666,0.5187712796408449,0.9270833333333334,0.10921666666666667,0.3229166666666667
