metric,mean,ci_low,ci_high
ME_C,-0.024197046541505392,-0.08507080221962597,0.03396403448035318
ME_D,-0.008463533802164925,-0.049754494252718155,0.03363716314650245
interaction,-0.04405381861660216,-0.09548881950063838,0.004991306261056001
acoustic_follow,0.2673611111111111,0.23611111111111108,0.30034722222222227
discrete_follow,0.23958333333333334,0.21354166666666666,0.2638888888888889
other,0.4930555555555555,0.4618055555555556,0.5208333333333334
matched_accuracy,0.2708333333333333,0.22395833333333334,0.3177083333333333
