pair_id,speaker,word,label_a,label_b,file_a,file_b,AA,AB,BA,BB,ME_C,ME_D,interaction
YAF_bone_sad_angry,YAF,bone,sad,angry,YAF_bone_sad.wav,YAF_bone_angry.wav,-1.375,-0.59375,-1.3125,-1.0,0.546875,-0.171875,-0.46875
YAF_book_neutral_happy,YAF,book,neutral,happy,YAF_book_neutral.wav,YAF_book_happy.wav,0.5625,0.625,0.4375,0.3125,-0.03125,-0.21875,-0.1875
YAF_book_neutral_sad,YAF,book,neutral,sad,YAF_book_neutral.wav,YAF_book_sad.wav,-0.5,-0.3125,0.0625,-0.4375,-0.15625,0.21875,-0.6875
YAF_book_neutral_angry,YAF,book,neutral,angry,YAF_book_neutral.wav,YAF_book_angry.wav,-1.4375,-2.75,-1.5,-1.96875,-0.890625,0.359375,0.84375
YAF_book_happy_sad,YAF,book,happy,sad,YAF_book_happy.wav,YAF_book_sad.wav,-1.3125,-0.5625,-0.0625,-1.0,-0.09375,0.40625,-1.6875
YAF_book_happy_angry,YAF,book,happy,angry,YAF_book_happy.wav,YAF_book_angry.wav,-2.34375,-2.5625,-2.374999523162842,-2.28125,-0.0625002384185791,0.1250002384185791,0.3124995231628418
YAF_book_sad_angry,YAF,book,sad,angry,YAF_book_sad.wav,YAF_book_angry.wav,-1.9375004768371582,-1.75,-2.0,-1.03125,0.5781252384185791,0.3281252384185791,0.7812495231628418
YAF_bought_neutral_happy,YAF,bought,neutral,happy,YAF_bought_neutral.wav,YAF_bought_happy.wav,0.5,-0.25,0.1875,0.625,-0.15625,0.28125,1.1875
YAF_bought_neutral_sad,YAF,bought,neutral,sad,YAF_bought_neutral.wav,YAF_bought_sad.wav,-1.4375,-1.0,-1.4687495231628418,-1.125,0.3906247615814209,-0.0781247615814209,-0.0937504768371582
YAF_bought_neutral_angry,YAF,bought,neutral,angry,YAF_bought_neutral.wav,YAF_bought_angry.wav,-2.46875,-2.90625,-2.625,-2.3125,-0.0625,0.21875,0.75
YAF_bought_happy_sad,YAF,bought,happy,sad,YAF_bought_happy.wav,YAF_bought_sad.wav,-2.0,-0.6875,-1.125,-1.3125,0.5625,0.125,-1.5
YAF_bought_happy_angry,YAF,bought,happy,angry,YAF_bought_happy.wav,YAF_bought_angry.wav,-3.28125,-3.750000476837158,-3.5,-4.4375,-0.7031252384185791,-0.4531247615814209,-0.4687495231628418
YAF_bought_sad_angry,YAF,bought,sad,angry,YAF_bought_sad.wav,YAF_bought_angry.wav,-1.75,-1.8125,-1.625000238418579,-0.625,0.46875011920928955,0.6562498807907104,1.062500238418579
YAF_burn_neutral_happy,YAF,burn,neutral,happy,YAF_burn_neutral.wav,YAF_burn_happy.wav,0.1875,0.125,1.625,0.25,-0.71875,0.78125,-1.3125
YAF_burn_neutral_sad,YAF,burn,neutral,sad,YAF_burn_neutral.wav,YAF_burn_sad.wav,-1.8125,-1.6875,-0.375,-1.375,-0.4375,0.875,-1.125
YAF_burn_neutral_angry,YAF,burn,neutral,angry,YAF_burn_neutral.wav,YAF_burn_angry.wav,-2.34375,-2.1875,-2.093749523162842,-2.5625,-0.1562502384185791,-0.0624997615814209,-0.6250004768371582
YAF_burn_happy_sad,YAF,burn,happy,sad,YAF_burn_happy.wav,YAF_burn_sad.wav,-1.6249995231628418,-2.0625,-1.875,-1.875,-0.2187502384185791,-0.0312502384185791,0.4375004768371582
YAF_burn_happy_angry,YAF,burn,happy,angry,YAF_burn_happy.wav,YAF_burn_angry.wav,-1.9999995231628418,-3.3125,-2.718749523162842,-3.125,-0.8593754768371582,-0.265625,0.90625
YAF_burn_sad_angry,YAF,burn,sad,angry,YAF_burn_sad.wav,YAF_burn_angry.wav,-0.5625004768371582,-0.5625,-0.5,-0.6875,-0.0937497615814209,-0.0312497615814209,-0.1875004768371582
YAF_cab_neutral_happy,YAF,cab,neutral,happy,YAF_cab_neutral.wav,YAF_cab_happy.wav,-1.53125,-1.375,-0.21875,-0.90625,-0.265625,0.890625,-0.84375
YAF_cab_neutral_sad,YAF,cab,neutral,sad,YAF_cab_neutral.wav,YAF_cab_sad.wav,0.125,0.25,0.6875,-0.0625,-0.3125,0.125,-0.875
YAF_cab_neutral_angry,YAF,cab,neutral,angry,YAF_cab_neutral.wav,YAF_cab_angry.wav,-2.4375,-4.25,-2.031250476837158,-2.25,-1.015624761581421,1.203124761581421,1.5937504768371582
YAF_cab_happy_sad,YAF,cab,happy,sad,YAF_cab_happy.wav,YAF_cab_sad.wav,1.46875,0.625,0.0,0.375,-0.234375,-0.859375,1.21875
YAF_cab_happy_angry,YAF,cab,happy,angry,YAF_cab_happy.wav,YAF_cab_angry.wav,-1.5,-3.09375,-1.5625,-2.6875,-1.359375,0.171875,0.46875
YAF_cab_sad_angry,YAF,cab,sad,angry,YAF_cab_sad.wav,YAF_cab_angry.wav,-2.5,-2.4375,-3.09375,-3.15625,0.0,-0.65625,-0.125
YAF_calm_neutral_happy,YAF,calm,neutral,happy,YAF_calm_neutral.wav,YAF_calm_happy.wav,-0.375,-0.4375,0.125,-0.5625,-0.375,0.1875,-0.625
YAF_calm_neutral_sad,YAF,calm,neutral,sad,YAF_calm_neutral.wav,YAF_calm_sad.wav,0.625,1.625,0.25,0.0,0.375,-1.0,-1.25
YAF_calm_neutral_angry,YAF,calm,neutral,angry,YAF_calm_neutral.wav,YAF_calm_angry.wav,-1.90625,-3.937500238418579,-2.03125,-3.5625,-1.7812501192092896,0.12500011920928955,0.5000002384185791
YAF_calm_happy_sad,YAF,calm,happy,sad,YAF_calm_happy.wav,YAF_calm_sad.wav,1.5,1.1875,0.3125,0.5,-0.0625,-0.9375,0.5
YAF_calm_happy_angry,YAF,calm,happy,angry,YAF_calm_happy.wav,YAF_calm_angry.wav,-2.0625,-2.6875,-1.90625,-2.6875,-0.703125,0.078125,-0.15625
YAF_calm_sad_angry,YAF,calm,sad,angry,YAF_calm_sad.wav,YAF_calm_angry.wav,-2.375,-2.0625,-4.062499761581421,-3.4375,0.46874988079071045,-1.5312498807907104,0.3124997615814209
YAF_came_neutral_happy,YAF,came,neutral,happy,YAF_came_neutral.wav,YAF_came_happy.wav,-0.3125,-0.9375,-0.5,0.0,-0.0625,0.375,1.125
YAF_came_neutral_sad,YAF,came,neutral,sad,YAF_came_neutral.wav,YAF_came_sad.wav,0.78125,-0.125,0.3125,-0.125,-0.671875,-0.234375,0.46875
YAF_came_neutral_angry,YAF,came,neutral,angry,YAF_came_neutral.wav,YAF_came_angry.wav,-1.25,-2.5,-1.625,-2.25,-0.9375,-0.0625,0.625
YAF_came_happy_sad,YAF,came,happy,sad,YAF_came_happy.wav,YAF_came_sad.wav,-0.1875,0.5625002384185791,0.5,0.125,0.18750011920928955,0.12499988079071045,-1.125000238418579
YAF_came_happy_angry,YAF,came,happy,angry,YAF_came_happy.wav,YAF_came_angry.wav,-1.875,-2.3125,-2.031249523162842,-1.75,-0.0781252384185791,0.2031252384185791,0.7187495231628418
YAF_came_sad_angry,YAF,came,sad,angry,YAF_came_sad.wav,YAF_came_angry.wav,-1.499999761581421,-1.75,-1.749999761581421,-2.0625,-0.2812502384185791,-0.28125,-0.0625
YAF_cause_neutral_happy,YAF,cause,neutral,happy,YAF_cause_neutral.wav,YAF_cause_happy.wav,-0.4687495231628418,-0.375,-0.34375,-0.40625,0.015624761581420898,0.0468747615814209,-0.1562495231628418
YAF_cause_neutral_sad,YAF,cause,neutral,sad,YAF_cause_neutral.wav,YAF_cause_sad.wav,0.125,-0.9375,0.53125,-0.6875,-1.140625,0.328125,-0.15625
YAF_cause_neutral_angry,YAF,cause,neutral,angry,YAF_cause_neutral.wav,YAF_cause_angry.wav,-2.593749523162842,-3.15625,-2.78125,-2.75,-0.2656252384185791,0.1093747615814209,0.5937504768371582
YAF_cause_happy_sad,YAF,cause,happy,sad,YAF_cause_happy.wav,YAF_cause_sad.wav,-0.21875,0.375,0.59375,-0.1875,-0.09375,0.125,-1.375
YAF_cause_happy_angry,YAF,cause,happy,angry,YAF_cause_happy.wav,YAF_cause_angry.wav,-2.96875,-2.0625,-2.59375,-2.0625,0.71875,0.1875,-0.375
YAF_cause_sad_angry,YAF,cause,sad,angry,YAF_cause_sad.wav,YAF_cause_angry.wav,-1.90625,-1.6875,-2.84375,-2.78125,0.140625,-1.015625,-0.15625
YAF_chain_neutral_happy,YAF,chain,neutral,happy,YAF_chain_neutral.wav,YAF_chain_happy.wav,-0.5625,-0.6875,-0.78125,-0.6875,-0.015625,-0.109375,0.21875
YAF_chain_neutral_sad,YAF,chain,neutral,sad,YAF_chain_neutral.wav,YAF_chain_sad.wav,-0.6875,-0.8125,-0.9375,-0.5625,0.125,0.0,0.5
YAF_chain_neutral_angry,YAF,chain,neutral,angry,YAF_chain_neutral.wav,YAF_chain_angry.wav,-2.0625,-1.875,-2.4375,-2.8125,-0.09375,-0.65625,-0.5625
YAF_chain_happy_sad,YAF,chain,happy,sad,YAF_chain_happy.wav,YAF_chain_sad.wav,-0.3125,0.25,0.125,-0.1875,0.125,0.0,-0.875
YAF_chain_happy_angry,YAF,chain,happy,angry,YAF_chain_happy.wav,YAF_chain_angry.wav,-1.03125,-1.5,-0.78125,-2.625,-1.15625,-0.4375,-1.375
YAF_chain_sad_angry,YAF,chain,sad,angry,YAF_chain_sad.wav,YAF_chain_angry.wav,-0.625,-1.3125,-1.375,-1.875,-0.59375,-0.65625,0.1875
YAF_chair_neutral_happy,YAF,chair,neutral,happy,YAF_chair_neutral.wav,YAF_chair_happy.wav,-0.71875,-0.5,-0.5625,-0.5625,0.109375,0.046875,-0.21875
YAF_chair_neutral_sad,YAF,chair,neutral,sad,YAF_chair_neutral.wav,YAF_chair_sad.wav,-0.5625,-1.5625,-0.625,-1.1875,-0.78125,0.15625,0.4375
YAF_chair_neutral_angry,YAF,chair,neutral,angry,YAF_chair_neutral.wav,YAF_chair_angry.wav,-1.40625,-2.5625,-1.125,-0.875,-0.453125,0.984375,1.40625
YAF_chair_happy_sad,YAF,chair,happy,sad,YAF_chair_happy.wav,YAF_chair_sad.wav,0.125,0.75,0.0625,0.0625,0.3125,-0.375,-0.625
YAF_chair_happy_angry,YAF,chair,happy,angry,YAF_chair_happy.wav,YAF_chair_angry.wav,-0.9375004768371582,-1.0,-1.0625,-0.8125,0.0937502384185791,0.0312502384185791,0.3124995231628418
YAF_chair_sad_angry,YAF,chair,sad,angry,YAF_chair_sad.wav,YAF_chair_angry.wav,-1.1875,-1.375,-0.8125,-1.4375,-0.40625,0.15625,-0.4375
YAF_chalk_neutral_happy,YAF,chalk,neutral,happy,YAF_chalk_neutral.wav,YAF_chalk_happy.wav,-0.3125,-0.75,-0.125,-0.375,-0.34375,0.28125,0.1875
YAF_chalk_neutral_sad,YAF,chalk,neutral,sad,YAF_chalk_neutral.wav,YAF_chalk_sad.wav,-0.5,0.1875,-0.25,-0.875,0.03125,-0.40625,-1.3125
YAF_chalk_neutral_angry,YAF,chalk,neutral,angry,YAF_chalk_neutral.wav,YAF_chalk_angry.wav,-1.375,-3.0,-1.5,-1.78125,-0.953125,0.546875,1.34375
YAF_chalk_happy_sad,YAF,chalk,happy,sad,YAF_chalk_happy.wav,YAF_chalk_sad.wav,-0.125,0.0625,-0.3125,-0.5625,-0.03125,-0.40625,-0.4375
YAF_chalk_happy_angry,YAF,chalk,happy,angry,YAF_chalk_happy.wav,YAF_chalk_angry.wav,-1.6875,-2.1875,-1.4999995231628418,-1.59375,-0.2968752384185791,0.3906252384185791,0.4062495231628418
YAF_chalk_sad_angry,YAF,chalk,sad,angry,YAF_chalk_sad.wav,YAF_chalk_angry.wav,-1.375,-1.625,-1.5,-1.28125,-0.015625,0.109375,0.46875
YAF_chat_neutral_happy,YAF,chat,neutral,happy,YAF_chat_neutral.wav,YAF_chat_happy.wav,-0.625,-1.3125,-0.6875002384185791,-1.34375,-0.6718748807907104,-0.04687511920928955,0.0312502384185791
