pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s1_neutral_angry,1,1,neutral,angry,10,0.1015625,1.1533203125,0.2382822036743164,1.30078125,1.0571284294128418,0.1420903205871582,0.010741233825683594
a01_s1_neutral_angry,1,1,neutral,angry,11,1.583984375,1.875,2.00390625,1.671875,-0.0205078125,0.1083984375,-0.623046875
a01_s1_neutral_angry,1,1,neutral,angry,12,1.3281259536743164,1.12890625,1.9238290786743164,0.86328125,-0.6298837661743164,0.1650390625,-0.861328125
a01_s1_neutral_angry,1,1,neutral,angry,13,1.17578125,0.9375,1.5390634536743164,0.9375,-0.4199223518371582,0.1816411018371582,-0.3632822036743164
a01_s1_neutral_angry,1,1,neutral,angry,14,1.36328125,1.125,1.5908203125,1.171875,-0.32861328125,0.13720703125,-0.1806640625
a01_s1_neutral_angry,1,1,neutral,angry,15,1.63671875,0.96875,1.65625,1.21875,-0.552734375,0.134765625,0.23046875
a01_s1_neutral_angry,1,1,neutral,angry,16,0.61328125,0.4609375,0.78515625,0.4765625,-0.23046875,0.09375,-0.15625
a01_s1_neutral_angry,1,1,neutral,angry,17,0.46875,-0.296875,1.015625,-0.671875,-1.2265625,0.0859375,-0.921875
a01_s1_neutral_angry,1,1,neutral,angry,18,0.3125,-0.390625,0.6875,-0.59375,-0.9921875,0.0859375,-0.578125
a01_s1_neutral_angry,1,1,neutral,angry,19,-0.609375,0.859375,-0.28125,0.75,1.25,0.109375,-0.4375
a01_s1_neutral_angry,1,1,neutral,angry,20,-0.4375,0.671875,-0.25,0.4375,0.8984375,-0.0234375,-0.421875
a01_s1_neutral_angry,1,1,neutral,angry,21,-0.375,0.265625,0.03125,-0.3125,0.1484375,-0.0859375,-0.984375
a01_s1_neutral_angry,1,1,neutral,angry,22,-1.71875,-0.5,-1.21875,-1.328125,0.5546875,-0.1640625,-1.328125
a01_s1_neutral_angry,1,1,neutral,angry,23,-3.28125,-2.03125,-3.0,-2.515625,0.8671875,-0.1015625,-0.765625
a01_s1_neutral_angry,1,1,neutral,angry,24,-4.59375,-2.640625,-4.65625,-3.0,1.8046875,-0.2109375,-0.296875
a01_s1_neutral_angry,1,1,neutral,angry,25,-8.312499850988388,1.09375,-8.124999672174454,0.28125,8.906249761581421,-0.31249991059303284,-1.0000001788139343
a01_s1_neutral_angry,1,1,neutral,angry,26,-6.750000208616257,2.5,-7.1249998807907104,1.90625,9.140625044703484,-0.48437483608722687,-0.21875032782554626
a01_s1_neutral_angry,1,1,neutral,angry,27,-8.43749997485429,2.8125,-8.750000331550837,0.3125,10.156250153202564,-1.406250178348273,-2.187499643303454
a01_s1_neutral_angry,1,1,neutral,angry,28,-4.499999895691872,2.937500476837158,-4.624999776482582,0.75,6.406250074505806,-1.1562501788139343,-2.0625005960464478
a01_s2_happy_sad,1,2,happy,sad,0,2.0703125,2.0703125,2.0703125,2.0703125,0.0,0.0,0.0
a01_s2_happy_sad,1,2,happy,sad,1,-0.552978515625,-0.4931640625,-0.5570068359375,-0.513671875,0.05157470703125,-0.01226806640625,-0.0164794921875
a01_s2_happy_sad,1,2,happy,sad,2,-1.28515625,-1.34765625,-1.3203125,-1.4453125,-0.09375,-0.06640625,-0.0625
a01_s2_happy_sad,1,2,happy,sad,3,-1.53125,-1.484375,-1.59375,-1.53125,0.0546875,-0.0546875,0.015625
a01_s2_happy_sad,1,2,happy,sad,4,-2.109375,-1.859375,-2.265625,-1.9375,0.2890625,-0.1171875,0.078125
a01_s2_happy_sad,1,2,happy,sad,5,-1.921875,-1.90625,-2.03125,-2.078125,-0.015625,-0.140625,-0.0625
a01_s2_happy_sad,1,2,happy,sad,6,-1.796875,-1.765625,-1.78125,-1.765625,0.0234375,0.0078125,-0.015625
a01_s2_happy_sad,1,2,happy,sad,7,-0.796875,-0.8046865463256836,-0.734375,-0.8046875,-0.0390620231628418,0.031249523162841797,-0.0625009536743164
a01_s2_happy_sad,1,2,happy,sad,8,-0.4453125,-0.21875,-0.36328125,-0.125,0.232421875,0.087890625,0.01171875
a01_s2_happy_sad,1,2,happy,sad,9,1.7890625,2.125,1.84375,2.09375,0.29296875,0.01171875,-0.0859375
a01_s2_happy_sad,1,2,happy,sad,10,-1.4746103286743164,-1.772216796875,-1.45703125,-1.7249755859375,-0.2827754020690918,0.0324101448059082,0.029662132263183594
a01_s2_happy_sad,1,2,happy,sad,11,-1.84716796875,-1.3134765625,-1.69140625,-1.2342529296875,0.49542236328125,0.11749267578125,-0.0765380859375
a01_s2_happy_sad,1,2,happy,sad,12,-1.140625,-1.1855478286743164,-1.095703125,-1.02734375,0.011718273162841797,0.1015629768371582,0.1132822036743164
a01_s2_happy_sad,1,2,happy,sad,13,2.115234375,2.9921875,2.1162109375,3.046875,0.90380859375,0.02783203125,0.0537109375
a01_s2_happy_sad,1,2,happy,sad,14,0.21875,0.59375,0.1875,0.7578125,0.47265625,0.06640625,0.1953125
a01_s2_happy_sad,1,2,happy,sad,15,0.78125,0.6796875,0.640625,0.640625,-0.05078125,-0.08984375,0.1015625
a01_s2_happy_sad,1,2,happy,sad,16,0.796875,0.390625,0.71875,0.5,-0.3125,0.015625,0.1875
a01_s2_happy_sad,1,2,happy,sad,17,-0.125,-0.265625,-0.09375,-0.28125,-0.1640625,0.0078125,-0.046875
a01_s2_happy_sad,1,2,happy,sad,18,-0.5625,-0.78125,-0.21875,-0.59375,-0.296875,0.265625,-0.15625
a01_s2_happy_sad,1,2,happy,sad,19,-0.15625,-0.375,-0.25,0.0,0.015625,0.140625,0.46875
a01_s2_happy_sad,1,2,happy,sad,20,0.375,0.71875,0.34375,0.5000004768371582,0.2500002384185791,-0.1249997615814209,-0.1874995231628418
a01_s2_happy_sad,1,2,happy,sad,21,0.0625,0.3437504768371582,0.40625,-0.0625,-0.0937497615814209,-0.0312502384185791,-0.7500004768371582
a01_s2_happy_sad,1,2,happy,sad,22,-0.96875,0.28125,-0.34375,0.0625,0.828125,0.203125,-0.84375
a01_s2_happy_sad,1,2,happy,sad,23,-2.031249761581421,-2.984375,-2.375000238418579,-2.96875,-0.7734375,-0.1640627384185791,0.3593754768371582
a01_s2_happy_sad,1,2,happy,sad,24,-1.375,-2.5625,-0.3125,-2.46875,-1.671875,0.578125,-0.96875
a01_s2_happy_sad,1,2,happy,sad,25,1.125,-3.34375,2.6250001192092896,-2.5625,-4.828125059604645,1.1406250596046448,-0.7187501192092896
a01_s2_happy_sad,1,2,happy,sad,26,1.5,-2.499999761581421,2.4999999403953552,-2.0625,-4.281249850988388,0.7187498509883881,-0.5625001788139343
a01_s2_happy_sad,1,2,happy,sad,27,-0.5,-3.9999999403953552,0.75,-2.5625,-3.4062499701976776,1.3437499701976776,0.18749994039535522
