method,split,seeds,accuracy_mean,accuracy_std,margin_mean,margin_std,aligned_accuracy_mean,conflict_acoustic_follow_mean,conflict_semantic_follow_mean
full_sequence_adapter_layer22,emis_zero_shot,3,0.2708333333333333,0.005208333333333343,-5.736870640492449,0.4889164106164573,0.9166666666666666,0.05555555555555555,0.875
full_sequence_adapter_layer22,test,3,0.9166666666666666,0.03608439182435161,4.847656234815893,0.6152343606866011,0.875,0.9305555555555555,0.041666666666666664
ordinary_lora_layer22,emis_zero_shot,3,0.27777777777777785,0.00300703265202929,-4.767361113938155,0.3133283523996692,0.951388888888889,0.053240740740740734,0.9050925925925926
ordinary_lora_layer22,test,3,0.8854166666666666,0.018042195912175808,3.064453128264025,0.1956637576000563,1.0,0.8472222222222223,0.1111111111111111
