control,n,accuracy,mean_correct_logprob,flip_vs_original,delta_correct_logprob
gaussian,192,0.2864583333333333,-1.6804688486736268,0.71875,0.956049281284019
original,192,0.4479166666666667,-2.6365181299576457,0.0,0.0
random_other_speaker,192,0.20833333333333334,-3.7719139211112633,0.6875,-1.1353957911536174
same_emotion_other_speaker,192,0.3489583333333333,-2.786689210062226,0.4479166666666667,-0.15017108010457983
zero,192,0.21354166666666666,-1.4540195195004344,0.6875,1.1824986104572115
