method,corpus,runs,n_per_run,micro_wer_mean,micro_wer_std,micro_cer_mean,micro_cer_std,exact_match_mean,exact_match_std
baseline,RAVDESS,1,192,0.0008680555555555555,0.0,0.0006793478260869565,0.0,0.9947916666666666,0.0
baseline,TESS,1,192,0.02734375,0.0,0.014136904761904762,0.0,0.890625,0.0
decision_adapter_layer25,RAVDESS,3,192,0.0008680555555555555,0.0,0.0006793478260869565,0.0,0.9947916666666666,0.0
decision_adapter_layer25,TESS,3,192,0.02734375,0.0,0.014136904761904762,0.00037202380952380994,0.890625,0.0
full_sequence_adapter_layer22,RAVDESS,3,192,0.0008680555555555555,0.0015035163260146505,0.0006793478260869565,0.0011766649507940743,0.9947916666666666,0.009021097956087904
full_sequence_adapter_layer22,TESS,3,192,0.028211805555555552,0.0007517581630073246,0.01450892857142857,2.1245936804851847e-18,0.8871527777777777,0.0030070326520293222
ordinary_lora_layer22,RAVDESS,3,192,0.00028935185185185184,0.0005011721086715501,0.00022644927536231884,0.0003922216502646914,0.9982638888888888,0.0030070326520293222
ordinary_lora_layer22,TESS,3,192,0.03081597222222222,0.004929607939062739,0.017113095238095236,0.006146842128667525,0.8888888888888888,0.0030070326520293222
