mode,n,accuracy,accuracy_ci_low,accuracy_ci_high,delta_vs_full,delta_ci_low,delta_ci_high,coverage,flip_rate,mcnemar_full_better,mcnemar_mode_better,mcnemar_p
full,96,0.46875,0.3958333333333333,0.5416666666666666,0.0,0.0,0.0,0.7083333333333334,,0,0,1.0
no_continuous,96,0.3854166666666667,0.3125,0.4585937499999962,-0.08333333333333331,-0.17708333333333331,0.010416666666666685,0.9895833333333334,0.5833333333333334,21,13,0.22948101302608848
no_discrete,96,0.3958333333333333,0.3125,0.4791666666666667,-0.07291666666666669,-0.15625000000000006,0.01041666666666663,0.59375,0.16666666666666666,9,2,0.0654296875
rolled_continuous,96,0.6666666666666666,0.59375,0.7291666666666666,0.19791666666666663,0.11458333333333326,0.27083333333333337,0.9895833333333334,0.4270833333333333,3,22,0.00015652179718017578
