emotion_pair,n_pairs,ME_C,ME_D,interaction,acoustic_follow,discrete_follow,other
happy-angry,400,7.399140622488339,-0.10835937203723006,0.3448437428404577,0.85625,0.0075,0.13625
happy-sad,400,7.407734370345134,0.18132812753145117,-0.14890624381252565,0.975,0.015,0.01
neutral-angry,400,0.2797656088344229,-0.16429686389674317,-0.018281215425522534,0.3675,0.12625,0.50625
neutral-happy,400,4.188671873459243,0.02851562097144779,-0.12734374226187356,0.49,0.00125,0.50875
neutral-sad,400,1.871093741254881,0.1293749843444675,-0.11531252237036824,0.4925,0.495,0.0125
sad-angry,400,5.4228906235216705,-0.14757811778064933,-0.09015625362895661,0.875,0.0025,0.1225
